iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
410,0.198976661962,0.310533998563,0.321587862418,0.698333333333,0.556,0.541333333333,58.885882165
420,0.199029142869,0.311351851489,0.321656357331,0.697333333333,0.554,0.538666666667,60.454565566
430,0.198823458112,0.311421144824,0.321807332776,0.699333333333,0.552,0.538,62.007435054
440,0.198470741093,0.313352910979,0.323508479305,0.700333333333,0.55,0.540666666667,63.408277404
450,0.198122697211,0.313629499797,0.324129028915,0.701666666667,0.55,0.540666666667,64.771921957
460,0.196961533845,0.314042846458,0.32331285689,0.706666666667,0.548,0.539333333333,66.206220876
470,0.196666268075,0.314186183463,0.322687729541,0.705333333333,0.546,0.538666666667,67.543700904
480,0.196205975413,0.313939679611,0.322664452264,0.705333333333,0.544,0.539333333333,68.915812807
490,0.196435809603,0.314873372889,0.321892863261,0.704333333333,0.538,0.540666666667,70.39486349
500,0.195178003727,0.314744838525,0.323561148304,0.707666666667,0.542,0.541333333333,71.94313644
510,0.196133860166,0.315800849792,0.324664200853,0.706666666667,0.544,0.537333333333,73.40905291
520,0.195141692966,0.315730753828,0.323915070188,0.709333333333,0.544,0.538666666667,74.836394794
530,0.194793174786,0.313906135947,0.323755462654,0.707333333333,0.546,0.537333333333,76.286145749
540,0.194745602248,0.312167622913,0.324133607883,0.704666666667,0.546,0.538666666667,77.697690709
550,0.193479550604,0.313843076794,0.324190461028,0.707,0.546,0.54,79.132964241
560,0.194115745648,0.315282170036,0.323782476144,0.709,0.544,0.538666666667,80.558731803
570,0.193095117704,0.314067448662,0.323478058055,0.709,0.548,0.540666666667,82.010788729
580,0.193635596229,0.31626809406,0.324522180969,0.708,0.548,0.535333333333,83.413156808
590,0.192301812347,0.316337441341,0.323950631546,0.709666666667,0.548,0.537333333333,84.858277245
600,0.192513250705,0.314936367409,0.323272144288,0.71,0.546,0.534666666667,86.236670622
610,0.192823719187,0.315470569999,0.32226049854,0.711,0.54,0.538,87.642760571
620,0.19207137743,0.313546032985,0.324067779755,0.712333333333,0.552,0.533333333333,89.007365911
630,0.191303211871,0.313205107136,0.324573191036,0.714,0.552,0.534,90.394088767
640,0.19057662854,0.313209765758,0.325489779702,0.714666666667,0.552,0.534,91.795889141
650,0.190720951728,0.313536050112,0.325824704636,0.713333333333,0.552,0.533333333333,93.182261968
660,0.19019222994,0.315846466036,0.324866346547,0.713333333333,0.55,0.536,94.586406635
670,0.189587571374,0.31765085133,0.324976941993,0.717666666667,0.544,0.534666666667,95.953628468
680,0.189543149874,0.317795071212,0.324404122949,0.717333333333,0.54,0.536,97.320797756
690,0.189545082198,0.318095208415,0.326017637287,0.718666666667,0.538,0.537333333333,98.727568792
700,0.189866798525,0.317353475819,0.32532297259,0.715666666667,0.536,0.535333333333,100.104185977
710,0.188527751354,0.31806688826,0.324585431033,0.717,0.54,0.54,101.490162164
720,0.18844476157,0.316192003239,0.3255650956,0.717333333333,0.544,0.544,102.878850055
730,0.187836555098,0.31464436556,0.327362834902,0.719333333333,0.544,0.537333333333,104.292050717
740,0.190412666548,0.314138393999,0.326000102695,0.717333333333,0.546,0.540666666667,105.691497316
750,0.190803402763,0.316446050909,0.326849043353,0.712666666667,0.548,0.542,107.060211296
760,0.191058571742,0.316815027315,0.327767400159,0.711333333333,0.55,0.538,108.445373658
770,0.189442994609,0.316113723011,0.325356726442,0.714666666667,0.55,0.543333333333,109.844322873
780,0.188061503903,0.317572750755,0.324151357328,0.718333333333,0.548,0.541333333333,111.375996924
790,0.187033229107,0.316332028353,0.325108552237,0.722666666667,0.552,0.538,112.800407059
800,0.186659645984,0.314131514413,0.324526554229,0.724,0.554,0.538,114.221010775
810,0.187074327084,0.318027322603,0.325837673606,0.724,0.548,0.537333333333,115.573529607
820,0.187084251985,0.31820147299,0.326172737504,0.722333333333,0.55,0.537333333333,117.028663666
830,0.187453232586,0.315629080103,0.32422702416,0.722666666667,0.55,0.54,118.567054156
840,0.187029522203,0.315248755985,0.324462226169,0.723666666667,0.552,0.538,120.025525302
850,0.187776188254,0.316104148527,0.32396481548,0.720333333333,0.544,0.536,121.412213786
860,0.186704409599,0.314894995913,0.322492732153,0.719,0.554,0.54,122.784147913
870,0.186477058997,0.319132016158,0.323392027472,0.719333333333,0.544,0.54,124.17522869
880,0.186333875805,0.318856096198,0.323835059466,0.721333333333,0.542,0.538,125.658100406
890,0.185610272299,0.319067394207,0.324266051782,0.724333333333,0.55,0.541333333333,127.12596769
900,0.185691190506,0.319997035773,0.325167333787,0.722666666667,0.544,0.538666666667,128.555001228
910,0.185422721171,0.318791409954,0.327325026909,0.724333333333,0.546,0.537333333333,129.934385422
920,0.186185387276,0.319224738126,0.32710771152,0.720333333333,0.542,0.534666666667,131.335965349
930,0.184677748195,0.320223073494,0.32679263337,0.724333333333,0.546,0.537333333333,132.840123765
940,0.184445739019,0.320653862346,0.325682591116,0.725666666667,0.544,0.538666666667,134.303429669
950,0.184729187539,0.320774747065,0.32719255327,0.725333333333,0.546,0.535333333333,135.708153892
960,0.184469799403,0.320619305855,0.324815807808,0.725333333333,0.546,0.536666666667,137.100548249
970,0.183839990352,0.3204401875,0.325074962543,0.727333333333,0.55,0.538666666667,138.646989297
980,0.184030803777,0.322790665796,0.326678667267,0.727333333333,0.546,0.538,140.165560737
990,0.183494540422,0.322951544971,0.328047825607,0.725666666667,0.544,0.534666666667,141.550535841
1000,0.183938362332,0.321060369984,0.329041280252,0.726666666667,0.542,0.530666666667,142.943691875
1010,0.183570355221,0.321460681719,0.328992132062,0.729333333333,0.542,0.530666666667,144.449743427
1020,0.182966549492,0.321423955324,0.328777388568,0.728333333333,0.544,0.53,145.955693841
1030,0.182809253691,0.321490194007,0.328560325805,0.729666666667,0.54,0.529333333333,147.358824782
1040,0.182561713905,0.321576717087,0.32714833636,0.731,0.544,0.534666666667,148.75946249
1050,0.182219843113,0.321976166027,0.327286444944,0.730333333333,0.538,0.534666666667,150.199274883
1060,0.181976510311,0.323131104791,0.328008350056,0.73,0.538,0.534,151.64606169
1070,0.18178452737,0.32609648717,0.32938069997,0.73,0.534,0.535333333333,153.150721835
1080,0.181595401361,0.326078073539,0.329446128534,0.730333333333,0.536,0.532,154.587809886
1090,0.181465653127,0.326506381199,0.329880238609,0.731666666667,0.534,0.533333333333,156.000376078
1100,0.181678948992,0.32637035464,0.329987371958,0.732,0.534,0.534,157.41890177
1110,0.181371007555,0.326275758724,0.329703801446,0.730666666667,0.534,0.534,158.818093161
1120,0.181419473231,0.326102006713,0.330409939652,0.73,0.536,0.532,160.256963731
1130,0.181224726304,0.326302029847,0.330083764856,0.732333333333,0.536,0.532666666667,161.638479281
1140,0.181075050359,0.326795480447,0.330592878819,0.733,0.534,0.528666666667,163.048036685
1150,0.180883515617,0.323988136606,0.330745332089,0.732666666667,0.536,0.529333333333,164.447983824
1160,0.18108813825,0.324805290291,0.331467969236,0.734,0.538,0.530666666667,165.863887891
1170,0.181326579099,0.323619774814,0.331532346685,0.732333333333,0.538,0.53,167.338872602
1180,0.180829698228,0.323115370497,0.331024492647,0.735333333333,0.54,0.53,168.936490304
1190,0.181221364494,0.323097894263,0.330738909934,0.733666666667,0.54,0.533333333333,170.446387384
1200,0.180641980706,0.323427326288,0.329518341521,0.734666666667,0.54,0.533333333333,171.904518778
1210,0.180632226454,0.323485040095,0.329501325056,0.735666666667,0.54,0.534,173.326989556
1220,0.18057590806,0.323605988561,0.329501202545,0.735,0.54,0.533333333333,174.754766401
1230,0.180407179635,0.32373529705,0.329442084504,0.735666666667,0.538,0.534,176.164918767
1240,0.180359838793,0.324081039118,0.329597893829,0.736333333333,0.536,0.532666666667,177.563633711
1250,0.179796164246,0.323293479802,0.329868150788,0.738,0.536,0.528666666667,178.936958454
1260,0.180302931821,0.320978370499,0.32991947899,0.736666666667,0.538,0.528666666667,180.488152883
1270,0.17981433457,0.322958286705,0.33113073153,0.738,0.538,0.529333333333,181.902460111
1280,0.180059128971,0.323838512237,0.330755462507,0.74,0.538,0.532666666667,183.414375952
1290,0.179790635941,0.32586306626,0.330546736876,0.74,0.536,0.532666666667,184.91024993
1300,0.179927142613,0.324215077045,0.330848964497,0.739666666667,0.536,0.530666666667,186.337324356
1310,0.179812630864,0.323712547195,0.330709540072,0.738333333333,0.538,0.534,187.723265779
1320,0.17990751884,0.323833593102,0.330635761389,0.739666666667,0.536,0.530666666667,189.160136942
1330,0.179411641419,0.323587708516,0.330273695599,0.74,0.536,0.531333333333,190.587048209
1340,0.179453946861,0.324770213801,0.331053144384,0.738666666667,0.534,0.532,191.978428836
1350,0.179321367511,0.323384840502,0.332866828882,0.739666666667,0.536,0.528666666667,193.36328779
1360,0.179447652153,0.322897367124,0.333966768738,0.739333333333,0.536,0.528666666667,194.763043722
1370,0.1790065267,0.320654265401,0.334703405799,0.74,0.542,0.528,196.18327727
1380,0.178638702942,0.320496780505,0.334525417101,0.738333333333,0.54,0.526666666667,197.602673679
1390,0.179120946361,0.320101143528,0.33446994437,0.738333333333,0.542,0.528666666667,199.045112836
1400,0.178602785993,0.319732332585,0.333985633907,0.741666666667,0.54,0.526666666667,200.628179636
1410,0.179061345883,0.319610799709,0.333623596235,0.738666666667,0.542,0.531333333333,202.031658627
1420,0.179240004514,0.319799549839,0.332529105488,0.742333333333,0.54,0.530666666667,203.456414441
1430,0.180117173953,0.321283536856,0.334960473722,0.734666666667,0.536,0.526666666667,204.838680212
1440,0.179760404838,0.322639142714,0.335623665701,0.734,0.534,0.527333333333,206.252602256
1450,0.179237804306,0.321005602635,0.335159229678,0.739,0.54,0.530666666667,207.655025642
1460,0.179200502928,0.320629957447,0.334356043783,0.739333333333,0.538,0.530666666667,209.061637468
1470,0.178762999013,0.320060619219,0.336947170926,0.739,0.542,0.526,210.499607689
1480,0.178902392643,0.31949370948,0.337053263306,0.736333333333,0.54,0.527333333333,211.880007587
1490,0.179104748004,0.319456053493,0.336266609155,0.736666666667,0.538,0.526,213.359256986
1500,0.178425469182,0.319214447562,0.335489537022,0.739333333333,0.54,0.529333333333,214.705306293
1510,0.178041011235,0.319527863664,0.335391593728,0.738333333333,0.544,0.528666666667,216.135570843
1520,0.178286720878,0.319733447155,0.335833270866,0.74,0.544,0.527333333333,217.526970038
1530,0.178076639301,0.321304209218,0.337125658028,0.741666666667,0.544,0.528666666667,218.923023849
1540,0.178109424357,0.320582567546,0.337320546879,0.741666666667,0.546,0.528666666667,220.326947677
1550,0.178087562831,0.320599316982,0.337558620203,0.74,0.542,0.528,221.700455334
1560,0.17760997903,0.319049408212,0.336547866147,0.740333333333,0.544,0.529333333333,223.100532055
1570,0.177624971163,0.318775620335,0.335564002157,0.740333333333,0.54,0.529333333333,224.507395931
1580,0.177573177583,0.318846695211,0.336298834457,0.740666666667,0.538,0.528,225.908589096
1590,0.177449901087,0.32069274459,0.336664242438,0.741,0.534,0.526666666667,227.349250079
1600,0.177369013791,0.32067621456,0.335540271762,0.742333333333,0.536,0.527333333333,228.779494478
1610,0.177604525811,0.320868732855,0.336015813117,0.742666666667,0.532,0.528,230.205962091
1620,0.177604543993,0.321216623753,0.335358504992,0.741,0.536,0.529333333333,231.606523553
1630,0.177484914682,0.321204737226,0.335555762984,0.742666666667,0.538,0.526666666667,233.013800268
1640,0.177231306007,0.320186549986,0.335038057452,0.741666666667,0.542,0.527333333333,234.391269205
1650,0.177441927206,0.318399400155,0.334025286507,0.741333333333,0.546,0.527333333333,235.815473908
1660,0.178325692759,0.319804892485,0.332350366579,0.739,0.538,0.53,237.177849127
1670,0.179028045945,0.317344431174,0.332835611753,0.739333333333,0.538,0.525333333333,238.596598822
1680,0.178512897413,0.318692793452,0.333207820995,0.739333333333,0.54,0.528666666667,239.976890866
1690,0.177506554706,0.318785430262,0.334782535317,0.741666666667,0.54,0.527333333333,241.440822155
1700,0.177074274765,0.320472999817,0.334940671212,0.742666666667,0.538,0.527333333333,242.85998113
1710,0.176979214953,0.321295714523,0.33482408995,0.740666666667,0.538,0.528666666667,244.339136503
